gets,sets
231,417
138,170
144,234
150,205
188,237
169,310
172,206
172,206
219,234
174,205
176,246
185,223
185,239
181,259
272,241
185,243
243,290
199,250
195,250
197,251
202,261
200,267
206,285
207,342
247,365
319,425
320,577
244,324
209,302
259,273
212,249
219,278
208,274
210,247
216,251
212,250
212,246
215,251
222,266
215,248
243,286
218,265
262,261
261,465
218,273
221,267
223,261
245,278
269,306
222,266
222,263
291,264
422,611
295,502
300,399
254,355
243,338
268,280
303,294
234,315
236,348
263,351
272,276
295,274
237,301
274,304
265,296
290,276
265,275
239,340
245,309
266,302
270,276
268,303
242,309
260,305
304,630
495,700
277,512
267,285
233,303
265,354
329,339
253,432
270,395
273,394
271,395
282,370
247,398
278,428
237,430
265,380
274,365
237,373
269,376
259,396
235,407
240,643
244,309
262,283
