cycle,gets,sets
1,412,656
2,355,709
3,437,449
4,365,428
5,409,406
6,575,476
7,508,465
8,545,470
9,455,500
10,515,495
11,495,438
12,493,476
13,508,575
14,553,607
15,652,524
16,489,566
17,493,619
18,530,539
19,506,523
20,575,520
21,576,638
22,711,662
23,808,560
24,591,632
25,596,592
26,659,599
27,571,604
28,551,569
29,754,747
30,606,588
31,643,781
32,555,572
33,608,594
34,614,585
35,556,581
36,1265,673
37,593,624
38,575,680
39,575,595
40,588,655
41,604,615
42,603,688
43,607,622
44,567,587
45,1217,894
46,658,643
47,623,610
48,597,624
49,598,605
50,608,671
51,584,610
52,926,695
53,668,696
54,600,702
55,723,612
56,697,639
57,617,639
58,601,604
59,691,857
60,1340,845
61,588,641
62,689,667
63,647,706
64,613,678
65,593,643
66,640,764
67,817,680
68,698,629
69,592,666
70,606,680
71,586,648
72,667,691
73,623,744
74,594,665
75,812,669
76,646,685
77,638,702
78,645,693
79,622,662
80,702,834
81,646,746
82,659,750
83,639,718
84,695,672
85,653,639
86,658,788
87,650,625
88,643,679
89,633,704
90,679,1299
91,651,732
92,606,633
93,771,625
94,706,679
95,643,654
96,670,630
97,622,866
98,653,732
99,638,635
100,1248,676
