cycle,gets,sets
1,115,147
2,90,115
3,120,109
4,84,125
5,116,185
6,90,115
7,90,103
8,88,103
9,88,103
10,103,315
11,109,133
12,88,131
13,89,120
14,106,151
15,90,234
16,88,104
17,161,112
18,91,104
19,88,112
20,87,104
21,88,109
22,89,101
23,97,103
24,89,102
25,227,119
26,96,130
27,88,117
28,155,208
29,112,103
30,217,105
31,96,124
32,133,122
33,89,140
34,97,153
35,93,137
36,94,116
37,130,107
38,117,108
39,118,108
40,121,108
41,185,107
42,126,186
43,94,141
44,93,150
45,95,138
46,94,118
47,94,129
48,93,109
49,118,110
50,93,147
51,95,134
52,96,191
53,170,235
54,129,179
55,130,138
56,96,161
57,96,182
58,97,115
59,131,111
60,103,121
61,172,121
62,282,109
63,162,257
64,213,199
65,147,181
66,97,160
67,192,233
68,203,201
69,194,263
70,97,121
71,99,152
72,98,124
73,482,184
74,127,136
75,92,127
76,93,108
77,134,123
78,110,136
79,93,109
80,94,109
81,93,110
82,95,111
83,94,109
84,138,107
85,92,108
86,183,109
87,104,226
88,95,112
89,159,158
90,108,114
91,112,122
92,104,113
93,98,112
94,106,114
95,99,115
96,98,115
97,99,141
98,98,113
99,96,113
100,98,113
