cycle,gets,sets
1,99,156
2,78,130
3,74,92
4,75,93
5,111,102
6,75,116
7,74,91
8,75,95
9,75,93
10,74,119
11,76,124
12,78,93
13,104,92
14,75,94
15,77,110
16,75,97
17,77,95
18,75,101
19,108,97
20,78,95
21,77,118
22,77,95
23,86,96
24,77,95
25,77,97
26,77,95
27,78,106
28,105,101
29,82,99
30,75,105
31,79,96
32,79,98
33,80,111
34,584,210
35,105,125
36,107,111
37,77,97
38,81,110
39,109,172
40,78,108
41,104,147
42,79,95
43,83,101
44,82,100
45,82,109
46,83,102
47,82,105
48,86,131
49,83,112
50,111,113
51,88,104
52,113,103
53,84,113
54,81,110
55,86,103
56,80,105
57,81,101
58,82,102
59,84,131
60,88,107
61,173,135
62,86,106
63,108,100
64,118,119
65,128,102
66,157,228
67,219,251
68,94,112
69,86,106
70,89,116
71,91,157
72,85,102
73,85,111
74,87,106
75,87,105
76,86,104
77,89,108
78,85,103
79,85,136
80,88,112
81,84,101
82,88,134
83,90,107
84,83,129
85,89,107
86,119,114
87,90,108
88,115,106
89,93,112
90,137,108
91,89,107
92,117,109
93,90,107
94,90,109
95,171,149
96,95,116
97,117,110
98,196,300
99,253,295
100,195,232
