cycle,gets,sets
1,41,71
2,40,110
3,38,60
4,44,60
5,38,76
6,38,77
7,39,124
8,67,73
9,80,138
10,92,137
11,88,157
12,79,138
13,121,142
14,117,152
15,71,133
16,85,139
17,100,242
18,71,134
19,110,443
20,40,288
21,40,78
22,130,145
23,63,63
24,40,241
25,38,63
26,49,64
27,39,62
28,38,63
29,46,72
30,39,90
31,40,62
32,40,62
33,47,117
34,42,61
35,101,125
36,86,189
37,39,62
38,48,88
39,86,68
40,51,118
41,44,65
42,46,77
43,44,94
44,49,73
45,45,83
46,44,68
47,76,121
48,167,128
49,41,108
50,41,79
51,41,80
52,40,65
53,47,72
54,49,94
55,60,66
56,41,73
57,41,66
58,44,90
59,55,78
60,41,69
61,40,74
62,43,71
63,42,68
64,45,68
65,43,68
66,45,69
67,47,70
68,54,79
69,52,74
70,82,154
71,61,109
72,46,69
73,49,76
74,47,98
75,47,71
76,44,154
77,47,71
78,46,83
79,51,225
80,49,67
81,43,69
82,44,68
83,46,71
84,49,121
85,68,81
86,43,68
87,48,104
88,72,78
89,45,68
90,47,73
91,54,77
92,91,96
93,46,73
94,43,67
95,44,70
96,43,67
97,49,73
98,50,102
99,43,69
100,46,73
