cycle,gets,sets
1,35,59
2,38,126
3,37,71
4,40,79
5,39,78
6,70,100
7,50,74
8,88,133
9,78,145
10,41,108
11,48,80
12,46,64
13,44,77
14,60,76
15,51,79
16,51,180
17,52,81
18,46,66
19,72,94
20,87,88
21,55,74
22,59,86
23,73,117
24,92,136
25,133,239
26,63,123
27,89,146
28,64,128
29,82,149
30,64,85
31,74,136
32,73,111
33,104,115
34,93,119
35,61,97
36,93,124
37,65,86
38,118,151
39,92,119
40,78,116
41,92,113
42,64,88
43,161,133
44,107,131
45,303,140
46,118,142
47,145,164
48,159,155
49,106,128
50,150,148
51,139,162
52,137,163
53,122,146
54,110,136
55,134,153
56,101,126
57,105,127
58,184,145
59,240,330
60,261,353
61,152,228
62,128,152
63,193,216
64,217,203
65,136,194
66,135,191
67,147,170
68,151,175
69,350,155
70,203,221
71,168,194
72,132,163
73,147,170
74,179,206
75,193,339
76,159,207
77,174,198
78,176,282
79,200,220
80,193,190
81,199,162
82,336,384
83,187,266
84,141,206
85,157,250
86,245,243
87,212,202
88,190,245
89,345,862
90,188,219
91,190,226
92,201,248
93,190,230
94,200,225
95,203,233
96,218,410
97,186,336
98,187,181
99,234,258
100,159,181
