cycle,gets,sets
1,2519,1607
2,4409,4442
3,9746,16555
4,12039,12456
5,15164,16400
6,18004,18505
7,21134,21368
8,25296,26040
9,29060,29268
10,32324,32592
11,39371,40194
12,38919,39644
13,40048,42287
14,42117,42106
15,45057,46347
16,47948,49700
17,53953,54360
18,54079,55396
19,58138,58102
20,60632,61302
21,65279,65238
22,72067,69920
23,73591,87331
24,74601,73066
25,75889,75580
26,79608,79248
27,83589,92689
28,86089,91245
29,88100,88705
30,112783,101797
31,100259,99795
32,99711,99068
33,132004,153492
34,120632,105422
35,107066,106078
36,117996,112444
37,113245,122408
38,132186,124582
39,124207,124088
40,124963,129700
41,159146,126706
42,133991,137795
43,134479,133443
44,142830,144271
45,145100,144703
46,148778,148514
47,147310,144415
48,158594,150267
49,148197,149562
50,160237,160923
51,163727,156918
52,171370,158627
53,168799,169228
54,183177,173256
55,189290,171386
56,195927,181773
57,187831,180624
58,193741,185683
59,183437,180628
60,183101,184736
61,187964,191358
62,200015,202914
63,195751,195014
64,207390,197199
65,201126,209170
66,205965,213362
67,228754,216774
68,221404,220264
69,228951,230536
70,230648,231097
71,252589,249501
72,242163,241472
73,248052,239866
74,273300,263247
75,247657,241821
76,238312,238148
77,250957,238256
78,260658,237742
79,261400,247849
80,251165,260556
81,262381,262349
82,249854,263624
83,268969,272757
84,264268,263191
85,267080,268068
86,292520,267517
87,268211,273260
88,271694,270913
89,271944,283664
90,298015,276719
91,299281,280842
92,306733,303085
93,301533,301882
94,288785,332238
95,295628,291124
96,296192,295566
97,306185,306824
98,304235,322678
99,305548,331825
100,308058,334402
