gets,sets
22,80
21,63
23,67
39,76
34,66
38,53
26,90
22,123
27,103
66,85
33,108
26,71
37,46
44,99
39,80
30,89
59,36
22,72
35,72
37,42
50,98
43,72
42,72
24,67
36,84
28,98
38,90
43,80
33,85
39,83
27,79
51,117
44,87
53,108
26,109
23,71
36,59
66,63
65,110
46,89
52,63
42,82
95,92
29,52
72,66
41,119
24,115
50,116
43,93
48,109
32,106
34,127
35,113
31,115
62,74
30,119
25,75
69,126
57,233
45,55
44,79
24,84
46,61
52,93
64,76
125,62
25,52
34,72
70,119
49,79
44,77
48,123
49,69
78,105
45,62
77,135
75,182
68,213
49,111
48,66
59,144
43,97
53,145
69,132
63,117
66,135
60,111
89,144
59,135
96,132
59,128
92,115
65,116
78,102
91,162
74,144
106,156
86,171
134,168
68,114
