gets,sets
412,565
1789,1351
1778,2699
2413,2353
3171,4932
3672,3856
6185,5022
6445,5865
7779,8939
11102,10252
10318,12619
12069,13602
10292,11561
10329,10648
14383,12558
10944,11430
11986,14134
12691,13184
14339,14898
15822,15305
16307,17521
16892,17485
17069,17500
18814,18960
18865,20042
19310,19971
20560,20373
20850,28055
23123,25078
20739,22371
22779,22071
23705,25413
26198,26676
33167,25170
33476,39104
37481,26658
36899,36862
38108,41434
28463,40733
30010,29470
38723,37238
30430,39893
41904,36803
45622,46184
32849,35316
48777,46323
51442,41043
45937,54131
35473,38428
40497,47168
35792,36671
36960,38687
55816,39442
36974,39623
43579,42081
39715,47452
44695,46258
41549,43976
45519,44898
43524,46721
44771,46485
53894,44977
52180,48100
48926,48712
57160,50646
52147,49452
51472,51252
59177,76282
54736,54138
52462,55846
57590,56361
55340,56794
63081,66597
73226,68456
57505,76239
51409,52624
81079,85951
70770,76490
80975,81053
68425,68243
79924,77526
68723,61086
60807,75781
75685,69476
61671,73956
63346,62215
61032,65102
74140,71877
70517,68830
66883,70663
73617,70043
72245,74508
82561,79697
90045,91802
82156,74245
84988,83979
69849,71720
76413,74098
74482,81134
77418,80647
